Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
D2146,roble sabana,30.5,9,3,0,3491.18
D2147,guayacán,104,15,2,1,30751.42
D2148,guaitil,28,10,2,0,0
D2149,guácimo,35,7,1.5,0,1436.67
D2150,poró poró,27,5,1.5,0,0
D2151,guácimo,70,8,1.3,0,4980.47
D2152,guácimo,48,8,1.3,0,2341.84
D2153,guácimo,22,8,1.3,0,491.95
D2154,guácimo,43,10,1.5,0,2168.50
D2155,guácimo,43.9,10,1.3,0,1958.86
D2156,ceiba,123.5,20,6,3.5937,97569.68
D2157,cenízaro,38.5,6,2,0,7712.07
D2158,guayaquil,25.5,12,2.5,0,1710.10
D2159,guayacán,88,20,4,1.2164,44034.57
D2160,cedro manteco,21.5,6,1.5,0,542.12
D2161,cedro manteco,35.3,12,3,0,2922.82
D2162,panama,72,18,4,1,19160.50
D2163,ron ron,40,16,4,0,21653.36
D2164,guácimo,34,6,1.5,0,1355.75
D2165,guácimo,34,6,1.3,0,1174.99
D2166,poró poró,54.2,15,2.5,0,0
D2167,tabaquillo,39.3,8,2,0,0
D2168,guácimo,31,7,1.5,0,1127.06
D2169,guácimo,23.3,7,1.5,0,636.70
D2170,guayaquil,47,16,4,0,9295.14
D2171,guayaquil,41,16,2,0,3536.70
D2172,guácimo,43,11,2,0,2891.33
D2173,guácimo,68,11,1.5,0,5423.01
D2174,guácimo,36,10,2,0,2026.59
D2175,cenízaro,66,14,2.5,0,28330.06
D2176,guayaquil,61.7,18,4,1,16018.82
D2177,guácimo,42.8,12,2,0,2864.50
D2178,guácimo,40,12,1.5,0,1876.47
D2179,poró poró,44,9,2,0,0
D2180,guácimo,55.7,10,2,0,4851.45
D2181,guácimo,28,9,4,0,2451.93
D2182,jaboncillo,45.9,12,2,0,0
D2183,carao espinoso,25,8,2,0,0
D2184,guayaquil,84,16,3,1,22267.94
D2185,cortez negro,35,10,2,0,6965.70
D2186,guácimo,51,7,1.5,0,3050.44
D2187,gavilancillo,23.5,11,2,0,1161.89
D2188,gavilancillo,29,15,4,0,3538.80
D2189,gavilancillo,29,12,2,0,1769.40
D2190,laurel,47,12,2,0,7096.96
D2191,pochote,20,5,1.3,0,591.37
D2192,pochote,17,5,1.3,0,427.27
D2193,laurel,31.8,10,2,0,3248.86
D2194,gavilancillo,23,7,1.3,0,723.43
D2195,gavilancillo,24.8,7,1.3,0,841.10
D2196,guayaquil,62,16,3,0,12131.23
D2197,chaperno,40,8,2,0,3639.22
D2198,laurel,19.8,8,2,0,1259.53
D2199,laurel,15.2,6,2,0,742.27
D2200,laurel,17,7,2,0,928.48
D2201,jocote,20,6,1.5,0,0
D2202,guácimo,44.5,7,2,0,3096.57
D2203,laurel,16.4,7,1.5,0,648.08
D2204,poró poró,46,11,3,0,0
D2205,guácimo,48,12,1.5,0,2702.12
D2206,guácimo,40,8,1.5,0,1876.47
D2207,guácimo,26,7,1.3,0,687.10
D2208,guácimo,21,7,1.3,0,448.24
D2209,cenízaro,80,15,4,1.0053,66597.74
D2210,indio pelado,53,15,5,1,0
D2211,jobo,45,15,8,1,14969.14
D2212,guácimo,26.4,7,1.3,0,708.41
D2213,laurel,18.5,6,1.3,0,714.72
D2214,jobo,61,16,4,1,13753.13
D2215,laurel,23,9,2,0,1699.54
D2216,roble sabana,20.5,5,2,0,1051.45
D2217,guácimo,23,6,1.5,0,620.41
D2218,guácimo,21,6,1.3,0,448.24
D2219,guácimo,31,8,1.5,0,1127.06
