Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
I0001,roble sabana,64.6,12,6,1,31323.29
I0002,roble sabana,56,10,4,0,15692.32
I0003,jocote,32,4,2,0,0
I0004,cenízaro,72.4,13,4,1,54545.22
I0005,guayaquil,55.3,11,6,1,19301.97
I0006,mora,58.2,12,6,1,26002.09
I0007,roble sabana,34.5,9,5,0,7444.91
I0008,guácimo,72.1,6,4,1,16257.80
I0009,almendro de playa,27.6,3,3,0,0
I0010,almendro de playa,24.4,3,3,0,0
I0011,almendro de playa,22,3,3,0,0
I0012,cenízaro,59.2,9,3,0,27351.69
I0013,cedro amargo,26.2,8,3,0,7055.20
I0014,guácimo,42.5,8,3,0,4236.72
I0015,guácimo,37.2,2.5,2.5,0,2704.94
I0016,guanacaste,204,20,5,8.1713,597516.86
I0017,guanacaste,177.5,15,8,9.898,723779.92
I0018,cenízaro,129.7,16,7,4.6242,306335.65
I0019,cenízaro,83.5,16,4,1.0952,72552.52
I0020,guanacaste,166.2,20,8,8.6778,634558.77
I0021,guanacaste,173,10,8,9.4025,687546.41
I0022,cenízaro,135.1,17,7,5.0173,332374.95
I0023,cedro amargo,44.7,15,6,0,41072.56
I0024,guácimo,22.7,8,4,0,1611.55
I0025,cedro amargo,110.2,16,6,2.8614,249631.82
I0026,tabaquillo,17.4,6,,0,0
I0027,guanacaste blanco,28.5,15,5,0,11662.17
I0028,tabaquillo,16.1,11,,0,0
I0029,tabaquillo,16.6,10,,0,0
I0030,guácimo,43.8,12,3,0,4499.88
I0031,jocote,16,6,,0,0
I0032,cenízaro,99.5,17,8,3.1103,206041.97
I0033,laurel,16.4,5,,0,0
I0034,guácimo,25,8,2,0,977.33
I0035,tabaquillo,21.4,9,3,0,0
I0036,guácimo,17.3,8,2,0,468.01
I0037,guácimo,25.3,8,2,0,1000.93
I0038,guácimo,16.2,6,,0,0
I0039,guácimo macho,28,12,3,0,0
I0040,guácimo macho,16.3,12,,0,0
I0041,guácimo,17.1,9,,0,0
I0042,guácimo macho,18.9,13,2,0,0
I0043,almendro de montaña,44.5,15,3,0,3800.34
I0044,guácimo macho,19.4,15,2,0,0
I0045,cenízaro,104,16,7,2.9732,196962.82
I0046,cedro amargo,117.3,15,9,4.8629,424252.13
I0047,tabaquillo,15,10,,0,0
I0048,roble sabana,61.7,15,4,1,19049.41
I0049,ceibo barrigón,26.7,12,3,0,2280.20
I0050,cenízaro,115,15,6,3.1161,206426.99
I0051,cenízaro,132.4,15,7,4.8187,319222.55
I0052,guácimo,41.4,9,2,0,2680.17
I0053,guayaquil,73,15,8,1.6742,44847.26
I0054,guayaquil,43.5,15,2,0,3981.15
I0055,guácimo,41.5,10,3,0,4039.70
I0056,guayaquil,99.5,18,4,1.5551,41658.76
I0057,guarumo,23,12,2,0,0
I0058,guarumo,17.7,12,1.3,0,0
I0059,guarumo,32,14,2,0,0
I0060,guayaquil,29,7,2,0,1769.40
I0061,gallinazo,25.5,11,3,0,2052.12
I0062,indio pelado,34.9,7,1.5,0,0
I0063,cenízaro,65,10,2,0,21982.46
I0064,laurel,16.5,6,1.5,0,656.00
I0065,corteza amarilla,49,16,6,1,40958.29
I0066,nance,29,7,1.5,0,0
I0067,guanacaste,160,16,1.5,1.508,110268.39
I0068,guácimo,54,9,1.5,0,3419.87
I0069,guácimo,43,8,1.5,0,2168.50
I0070,cenízaro,57,16,3,0,25356.57
I0071,corteza amarilla,36,14,4,0,14738.84
I0072,cenízaro,148.5,15,4,3.464,229473.45
I0073,roble sabana,16,8,,0,0
I0074,malinche,33.9,8,,0,0
I0075,indio pelado,26.5,10,,0,0
I0076,guayaquil,25,8,4,0,2629.91
I0077,mamón,23,7,4,0,0
I0078,malinche,53,12,6,1,0
I0079,malinche,16,5,,0,0
I0080,malinche,76,12,1.5,0,0
I0081,malinche,50,9,1.5,0,0
I0082,cenízaro,83.4,13,4,1.0926,72378.84
I0083,guanacaste blanco,21.3,10,,0,0
I0084,cenízaro,73.8,12,4,1,56675.10
I0085,roble sabana,22.7,13,6,0,3867.71
I0086,guácimo,49.2,9,2,0,3785.22
I0087,cenízaro,72.5,14,2,0,27348.00
I0088,cenízaro,71,12,1.5,0,19671.05
I0089,guácimo,44.8,9,1.5,0,2353.85
I0090,guácimo,33.2,10,3,0,2585.40
I0091,guácimo,19,10,,0,0
I0092,cenízaro,102.5,12,4,1.6503,109326.96
I0093,guácimo,22.3,7,,0,0
I0094,guácimo,19,7,,0,0
I0095,melina,72.8,12,3,1,21246.15
I0096,guácimo,35.5,8,2,0,1970.69
I0097,guácimo,25,9,3,0,1465.99
I0098,guácimo,33.5,9,3,0,2632.34
I0099,pochote,48,10,2,0,5240.48
I0100,pochote,33,10,1.5,0,1857.71
I0101,cenízaro,56.7,10,4,1,33453.82
I0102,guanacaste,52.7,15,8,1,63801.52
I0103,indio pelado,19.4,7,,0,0
I0104,guanacaste,21,12,3,0,3799.09
I0105,guanacaste,19,12,3,0,3109.91
I0106,guanacaste blanco,26,12,4,0,7764.73
I0107,laurel,17,8,,0,0
I0108,tabaquillo,16.5,12,3,0,0
I0109,tabaquillo,18,12,3,0,0
I0110,cenízaro,86.5,15,8,2.3506,155719.05
I0111,ron ron,27.2,9,4,0,10012.52
I0112,cenízaro,39.5,8,2,0,8117.90
I0113,laurel,32.2,12,2,0,3331.11
I0114,guayaquil,70.7,16,2,0,10516.45
I0115,guanacaste blanco,52.6,10,6,1,47669.72
I0116,melina,59.6,12,8,1.1159,37973.34
I0117,laurel,54.4,12,5,1,23769.21
I0118,roble sabana,44,9,3,0,7265.70
I0119,guarumo,39,12,,0,0
I0120,guarumo,36,12,,0,0
I0121,guácimo,33.9,8,4,0,3594.10
I0122,guácimo,25,7,2,0,977.33
I0123,laurel,21,6,,0,0
I0124,guanacaste blanco,49.2,16,4,0,27804.18
I0125,cenízaro,48.3,16,4,0,24275.81
I0126,cenízaro,33,16,4,0,11332.02
I0127,guanacaste blanco,40,16,7,0,32161.61
I0128,pavillo,36.5,12,3,0,4545.33
I0129,roble sabana,53.9,13,7,1,25440.56
I0130,guácimo,62.5,8,3,0,9162.47
I0131,guachipelín,36,8,3,0,5527.07
I0132,guachipelín,39.5,16,2,0,4436.01
I0133,guácimo,59.6,11,2,0,5554.61
I0134,cenízaro,72.4,12,5,1.0292,68181.52
I0135,guácimo,53.5,9,2,0,4475.78
I0136,guácimo,47,10,2,0,3454.27
I0137,guachipelín,48,11,5,0,16376.49
I0138,melina,56,10,4,0,16762.25
I0139,guachipelín,49.2,11,5,0,17205.55
I0140,guayaquil,52,15,5,1,14222.53
I0141,melina,79,13,5,1.2254,41698.51
I0142,guayaquil,67.8,20,2,0,9671.40
I0143,guayaquil,64.5,20,3,0,13129.28
I0144,cenízaro,75,15,6,1.3254,87799.76
I0145,guayaquil,54,15,4,0,12270.09
I0146,guayaquil,55,15,4,0,12728.74
I0147,guayaquil,61.8,15,6,1,24106.18
I0148,guácimo,55,10,4,0,9460.55
I0149,cenízaro,118,20,5,2.734,181114.64
I0150,guácimo,42.7,7,,0,0
I0151,guácimo,56,15,4,0,9807.70
I0152,melina,53.3,14,4,0,15184.86
I0153,orgullo de la india,41,15,4,0,0
I0154,roble sabana,42.8,11,5,0,11458.00
I0155,guácimo,41.8,3,3,0,4098.31
I0156,cenízaro,97,20,4,1.478,97909.09
I0157,guanacaste blanco,46.3,10,3,0,18467.29
I0158,guanacaste blanco,34,10,,0,0
I0159,guayaquil,34.4,12,1.5,0,1867.28
I0160,guayaquil,27.5,10,2,0,1591.09
I0161,guayaquil,17,7,,0,0
I0162,guanacaste,130,20,6,3.982,291177.48
I0163,indio pelado,16.8,6,,0,0
I0164,guayaquil,26,6,2,0,1422.25
I0165,guanacaste,127.3,16,8,5.091,372277.36
I0166,guácimo,23,5,,0,0
I0167,guayaquil,25.3,10,2,0,1346.70
I0168,tabaquillo,36,15,2,0,0
I0169,guanacaste,115,15,5,2.5967,189882.75
I0170,ceiba,56,15,1.5,0,5015.30
I0171,guayaquil,16.5,7,2,0,572.79
I0172,guayaquil,43.5,12,2.5,0,4976.44
I0173,laurel,26,10,4,0,4343.64
I0174,guácimo,47.2,10,4,0,6967.47
I0175,laurel,18.2,8,3,0,1596.29
I0176,guayaquil,113,15,6,3.0086,80595.04
I0177,guácimo,55,3,3,0,7095.41
I0178,jobo,16,4,,0,0
I0179,cenízaro,160,15,4,4.0212,266390.97
I0180,guácimo,19.5,5,,0,0
I0181,guayaquil,46,8,3,0,6677.86
I0182,guanacaste blanco,86,15,3,1,63714.46
I0183,guanacaste blanco,18.5,6,,0,0
I0184,guácimo,80,8,,0,0
I0185,guácimo blanco,16,18,,0,0
I0186,guácimo blanco,24,18,3,0,0
I0187,guácimo blanco,40,15,2,0,0
I0188,guácimo,86,5,2,1,11565.33
I0189,guanacaste blanco,17.5,5,,0,0
I0190,guanacaste blanco,27,6,2,0,4186.75
I0191,guácimo,32,5,2,0,1601.26
I0192,guarumo,22.5,10,3,0,0
I0193,guanacaste blanco,79,12,4,1,71685.94
I0194,cenízaro,89,15,7,2.1774,144243.95
I0195,guácimo,29.5,6,1.5,0,1020.63
I0196,guácimo,25,7,4,0,1954.66
I0197,guácimo,83,10,4,1.0821,21545.04
I0198,guácimo blanco,92.8,20,6,2.0291,0
I0199,guanacaste,110,12,6,2.851,208476.18
I0200,laurel,16,8,,0,0
I0201,guácimo,46,8,2,0,3308.85
I0202,guácimo,54,9,4,0,9119.66
I0203,guácimo,48,9,3,0,5404.24
I0204,teca,57.6,16,9,1.1726,99752.50
I0205,guanacaste blanco,103,20,7,2.9163,213251.61
I0206,guanacaste blanco,148,17,4,3.4407,251595.72
I0207,guanacaste blanco,71,20,5,1,72377.99
I0208,guanacaste,142,18,5,3.9592,289511.97
I0209,cenízaro,84,16,8,2.2167,146848.02
I0210,guanacaste,141,18,6,4.6844,342538.43
I0211,guanacaste,132,19,6,4.1054,300205.70
I0212,cenízaro,68.2,15,6,1.0959,72600.49
I0213,guanacaste,127,18,8,5.0671,370524.78
I0214,guachipelín,42,15,5,0,12538.25
I0215,guachipelín,43.5,15,3,0,8069.90
I0216,teca,68.5,15,7,1.2898,109727.50
I0217,alcornoque,180,18,3,3.817,138176.67
I0218,guayaquil,43.5,10,4,0,7962.30
I0219,teca,46.7,13,6,1,43714.08
I0220,teca,57,15,10,1.2759,108539.05
I0221,teca,55.5,16,7,1,72031.15
I0222,teca,16,9,,0,0
I0223,teca,36.6,14,8,0,35800.45
I0224,teca,29.3,10,3,0,8603.85
I0225,teca,31,12,8,0,25683.23
I0226,teca,32,12,8,0,27366.94
I0227,teca,42.3,16,8,1,47819.72
I0228,teca,25.2,16,2,0,4242.94
I0229,teca,36,16,5,0,21647.68
I0230,teca,35.5,15,8,0,33680.85
I0231,teca,25.3,14,7,0,14968.40
I0232,teca,43.6,17,8,1,50804.16
I0233,teca,23.6,14,3,0,5581.89
I0234,teca,23.5,15,4,0,7379.59
I0235,teca,32.1,15,8,0,27538.25
I0236,teca,24,12,5,0,9621.19
I0237,teca,22.5,15,5,0,8456.12
I0238,teca,25,16,5,0,10439.66
I0239,teca,22.5,15,4,0,6764.90
I0240,teca,21.5,15,4,0,6176.94
I0241,teca,37,15,8,0,36587.25
I0242,teca,33.5,16,9,0,33741.82
I0243,teca,24,15,4,0,7696.95
I0244,teca,25,15,6,0,12527.59
I0245,teca,32,16,8,0,27366.94
I0246,teca,20.9,13,5,0,7296.24
I0247,teca,24,14,4,0,7696.95
I0248,teca,49.5,17,9,1,73669.76
I0249,teca,17.9,4,4,0,4281.56
I0250,teca,32.9,16,8,0,28927.98
I0251,teca,42.5,16,9,1,54307.11
I0252,teca,57,18,7,1,75977.34
I0253,teca,40,17,8,1,42760.85
I0254,teca,49,17,10,1,80209.99
I0255,teca,79,6,6,1.4705,125095.52
I0256,guachipelín,17.8,7,,0,0
I0257,teca,52.8,9,6,1,55879.87
I0258,teca,49,9,5,0,40105.00
I0259,teca,53,6,6,1,56304.01
I0260,guácimo,58.5,9,3,0,8027.20
I0261,cenízaro,109,15,6,2.7994,185448.70
I0262,cenízaro,62.8,8,2.5,0,25649.50
I0263,almendro de playa,25.5,5,1.5,0,0
I0264,acacia,28.3,7,2,0,1821.63
I0265,laurel de la india,30.2,5,1,0,0
I0266,laurel de la india,49,6,,0,0
I0267,acacia,19.2,4,,0,0
I0268,acacia,20,8,3,0,1364.71
I0269,acacia,25.2,9,3,0,2166.61
I0270,acacia,27,6,,0,0
I0271,cenízaro,61,15,4,1,38720.34
I0272,guanacaste blanco,65.2,15,4,1,48828.68
I0273,cenízaro,66.8,12,4,1,46433.61
I0274,cenízaro,88.9,14,5,1.5518,102799.99
I0275,mora,24,7,2,0,1473.88
I0276,guayaquil,53,15,6,1,17729.77
I0277,guanacaste blanco,24.5,15,3,0,5170.98
I0278,guayaquil,18.7,13,3,0,1103.58
I0279,guácimo,22.5,15,4,0,1583.27
I0280,guácimo,35,9,3,0,2873.35
I0281,guácimo,22,9,2,0,756.84
I0282,guácimo,41.2,12,3,0,3981.50
I0283,guácimo,51,12,3,0,6100.88
I0284,cenízaro,71.8,12,4,1,53644.90
I0285,cedro amargo,27.3,10,5,0,12766.76
I0286,cedro amargo,43.5,14,8,1,51862.57
I0287,guácimo,32,9,2,0,1601.26
I0288,guácimo,40.5,9,2,0,2564.90
I0289,guanacaste,40.5,15,4,0,18840.39
I0290,guácimo,22,8,2,0,756.84
I0291,guayaquil,120,15,5,2.8274,75741.29
I0292,guácimo,64,10,3,0,9607.54
I0293,guanacaste blanco,28.3,14,4,0,9199.26
I0294,cenízaro,17.3,10,,0,0
I0295,guanacaste blanco,34.3,15,8,0,27027.01
I0296,guanacaste blanco,29,15,6,0,14489.96
I0297,guanacaste blanco,32.3,15,6,0,17975.30
I0298,cenízaro,43,15,5,0,24050.63
I0299,guanacaste blanco,24.9,15,3,0,5341.21
I0300,guanacaste blanco,19,15,,0,0
I0301,laurel,27.2,13,5,0,5942.30
I0302,laurel,16.7,13,,0,0
I0303,guácimo,25.2,10,4,0,1986.06
I0304,madero negro,30,16,5,0,0
I0305,madero negro,16.5,16,,0,0
I0306,guanacaste blanco,48.9,15,3,0,20599.60
I0307,guácimo,18,6,,0,0
I0308,pavillo,19.8,8,,0,0
I0309,cenízaro,91,18,4,1.3008,86171.24
I0310,guachipelín,34,10,2,0,3286.67
I0311,guácimo,16,7,,0,0
I0312,guácimo,18.5,7,,0,0
I0313,guanacaste blanco,22,15,3,0,4169.52
I0314,guanacaste blanco,32,15,3,0,8821.47
I0315,guácimo,28,10,3,0,1838.94
I0316,madero negro,21.4,15,4,0,0
I0317,madero negro,16,15,4,0,0
I0318,madero negro,24.5,15,4,0,0
I0319,cenízaro,30,15,4,0,9365.31
I0320,guanacaste blanco,52.2,16,6,1,46947.46
I0321,guácimo,20,7,,0,0
I0322,guácimo,24.3,10,2,0,923.37
I0323,guácimo,25.2,10,2,0,993.03
I0324,guácimo,24.2,10,2,0,915.78
I0325,guácimo,17.5,10,,0,0
I0326,mora,20,10,2,0,1023.53
I0327,guanacaste blanco,15.2,7,,0,0
I0328,madero negro,16,8,,0,0
I0329,cenízaro,103,16,8,3.3329,220792.33
I0330,guácimo,28.2,8,,0,0
I0331,guácimo,20,8,4,0,1250.98
I0332,guayaquil,53.5,15,3,0,9032.94
I0333,guácimo,23.2,8,,0,0
I0334,guácimo,44.5,8,2,0,3096.57
I0335,guayaquil,18,6,,0,0
I0336,guácimo,59,5,2,0,5443.34
I0337,ceiba,28.5,15,4,0,3464.01
I0338,cenízaro,17,5,,0,0
I0339,jícaro playa,23,8,,0,0
I0340,jícaro playa,20.5,8,,0,0
I0341,jícaro playa,19.3,8,,0,0
I0342,guácimo,83,10,2,1,10772.52
I0343,guayaquil,40.8,15,6,0,10506.83
I0344,guayaquil,51,17,4,0,10944.62
I0345,guayaquil,53,17,5,1,14774.81
I0346,guayaquil,40.5,15,3,0,5176.44
I0347,ceiba,25,15,5,0,3331.81
I0348,cedro amargo,29,15,4,0,11525.01
I0349,guayaquil,15.5,10,,0,0
I0350,cedro amargo,21.9,12,3,0,4929.41
I0351,cenízaro,16.2,8,,0,0
I0352,tabaquillo,15.3,12,,0,0
I0353,cenízaro,86.5,16,6,1.763,116789.29
I0354,madero negro,44,12,4,0,0
I0355,tabaquillo,16.5,7,,0,0
I0356,guácimo,23.4,9,2,0,856.23
I0357,guácimo,20,9,2,0,625.49
I0358,guachipelín,15.5,6,,0,0
I0359,sietecueros-pavillo,35.8,9,4,0,5830.21
I0360,sietecueros-pavillo,24.5,10,2,0,1365.28
I0361,guácimo,51,9,3,0,6100.88
I0362,guácimo,29,9,,0,0
I0363,cenízaro,109,15,8,3.7325,247264.93
I0364,ceiba,16.8,8,,0,0
I0365,guácimo,44.8,9,4,0,6276.93
I0366,guácimo,22.6,8,4,0,1597.38
I0367,guarumo,22,8,2,0,0
I0368,cenízaro,21.3,9,3,0,3540.79
I0369,guácimo,82,10,4,1.0562,21029.01
I0370,manglecillo,33.8,10,2,0,0
I0371,sotacaballo,40,12,3,0,0
I0372,sotacaballo,48,12,3,0,0
I0373,guácimo macho,50,10,4,0,0
I0374,guayaquil,61.5,12,6,1,23872.71
I0375,guayaquil,56.5,12,6,1,20148.76
I0376,guácimo,43.8,9,2,0,2999.92
I0377,guarumo,16.3,12,2,0,0
I0378,manglecillo,26.5,12,4,0,0
I0379,manglecillo,24.3,15,5,0,0
I0380,higuerón,59,13,0,0,0
I0381,manglecillo,17.4,10,,0,0
I0382,guarumo,24,15,2,0,0
I0383,guarumo,24.2,15,2,0,0
I0384,guácimo,18.2,6,,0,0
I0385,jobo,36.5,12,5,0,6155.13
I0386,laurel,19.4,14,2,0,1209.15
I0387,laurel,20.8,12,2,0,1389.96
I0388,guayaquil,17.5,12,3,0,966.49
I0389,laurel,31.2,14,3,0,4691.13
I0390,jobo,25.2,15,3,0,1760.37
I0391,laurel,40,15,6,0,15421.20
I0392,guanacaste blanco,18,10,,0,0
I0393,guayaquil,39.2,12,4,0,6465.95
I0394,laurel,15.2,10,,0,0
I0395,jobo,22.2,13,2,0,910.79
I0396,cenízaro,56.4,15,8,1,66201.49
I0397,jobo,21.3,10,2,0,838.44
I0398,jobo,20,12,,0,0
I0399,laurel,24.1,14,3,0,2799.00
I0400,laurel,41.2,15,5,0,13633.62
I0401,laurel,28.5,15,4,0,5219.11
I0402,laurel,33,15,5,0,8746.71
I0403,guácimo,39,7,4,0,4756.86
I0404,guácimo,26,7,3,0,1585.62
I0405,sotacaballo,25.5,14,,0,0
I0406,sotacaballo,18.4,14,,0,0
I0407,laurel,21.7,9,4,0,3025.70
I0408,panama,118.5,15,6,3.3086,77852.00
I0409,guaba,49,16,5,0,0
I0410,guayaquil,16.4,8,,0,0
I0411,jobo,62.5,18,7,1.0738,25266.20
I0412,guaba,23,16,4,0,0
I0413,guaba,35.3,16,3,0,0
I0414,guaba,23,9,3,0,0
I0415,alcornoque,92.4,18,9,3.0175,109233.26
I0416,guácimo,62,10,4,1,12021.94
I0417,guácimo,61.4,9,2,0,5895.19
I0418,guácimo,46.2,10,4,0,6675.37
I0419,guarumo,30.8,15,3,0,0
I0420,laurel,18.2,10,,0,0
I0421,laurel,28,12,6,0,7556.39
I0422,jobo,15.8,10,3,0,692.02
I0423,guácimo,15.4,6,,0,0
I0424,jaboncillo,21,12,3,0,0
I0425,laurel,18,10,,0,0
I0426,laurel,15.5,8,,0,0
I0427,laurel,24,15,2,0,1850.54
I0428,laurel,22.4,15,4,0,3224.06
I0429,guácimo,20.5,9,,0,0
I0430,laurel,30.8,15,6,0,9143.23
I0431,guácimo,25.7,7,2,0,1032.83
I0432,guácimo,24,10,2,0,900.71
I0433,guácimo,38.6,10,3,0,3494.84
I0434,guácimo,16.5,5,2,0,425.72
I0435,jobo,23,10,4,0,1955.23
I0436,guanacaste blanco,21.3,12,4,0,5211.22
I0437,guácimo,61,10,3,0,8727.95
I0438,mora,22.8,8,4,0,2660.36
I0439,laurel,16.5,8,,0,0
I0440,guácimo,24.5,8,1.5,0,703.97
I0441,laurel,15.2,8,,0,0
I0442,laurel,17.8,8,,0,0
I0443,jocote,18,6,,0,0
I0444,laurel,23.3,10,2,0,1744.17
I0445,guácimo,21.2,12,2,0,702.80
I0446,guácimo,15,12,,0,0
I0447,guácimo,24.8,9,4,0,1923.51
I0448,guácimo,18.9,8,2,0,558.58
I0449,guácimo,23,10,3,0,1240.82
I0450,guácimo,16,10,,0,0
I0451,guácimo,24.2,8,2,0,915.78
I0452,guácimo,16,7,2,0,400.31
I0453,guanacaste blanco,46,16,3,0,18228.74
I0454,guanacaste blanco,58,16,3,0,28979.91
I0455,guácimo,39.5,10,4,0,4879.61
I0456,guácimo,28.2,12,5,0,3108.85
I0457,guácimo,29,10,2,0,1315.10
I0458,guácimo,27,10,3,0,1709.94
I0459,guácimo,23,10,3,0,1240.82
I0460,guarumo,20.9,10,,0,0
I0461,jaboncillo,16.8,8,4,0,0
I0462,guácimo,32.2,9,4,0,3242.67
I0463,guácimo,54,8,2,0,4559.83
I0464,laurel,32.2,15,4,0,6662.21
I0465,guarumo,22.2,14,2,0,0
I0466,laurel,33.5,13,3,0,5408.26
I0467,laurel,33.3,13,3,0,5343.88
I0468,guácimo,18.5,8,1.5,0,401.39
I0469,guácimo,35.9,8,4,0,4030.70
I0470,guácimo,23.3,8,2,0,848.93
I0471,guácimo,17,9,2,0,451.92
I0472,laurel,21.5,11,4,0,2970.19
I0473,guácimo,33.4,9,4,0,3488.86
I0474,laurel,22,12,4,0,3109.94
I0475,laurel,17,13,4,0,1856.97
I0476,laurel,25.6,12,4,0,4211.02
I0477,ceiba,26.4,15,5,0,3715.42
I0478,guácimo,17.5,6,2,0,478.89
I0479,guácimo,17,9,2,0,451.92
I0480,guácimo,17,9,2,0,451.92
I0481,guácimo,29.8,10,2,0,1388.65
I0482,guácimo,23.5,10,2,0,863.57
I0483,guácimo,36,7,1.5,0,1519.94
I0484,guácimo,21,8,1.5,0,517.20
I0485,guácimo,17.2,8,,0,0
I0486,guácimo,16,8,,0,0
I0487,guácimo,32.3,9,3,0,2447.13
I0488,guácimo,38,9,3,0,3387.03
I0489,laurel,35,12,4,0,7871.24
I0490,guácimo,17.5,8,,0,0
I0491,roble sabana,23,9,2,0,1323.54
I0492,guácimo,21,8,,0,0
I0493,guácimo,184,10,3,3.9886,79412.35
I0494,guácimo,19.5,10,3,0,891.91
I0495,cenízaro,30,10,3,0,7023.98
I0496,jocote,16.3,6,,0,0
I0497,corteza amarilla,18,10,2,0,1842.36
I0498,indio pelado,15.2,12,,0,0
I0499,laurel,21.8,12,,0,0
I0500,guácimo,31,10,4,0,3005.48
I0501,guácimo,15.5,10,,0,0
I0502,poró poró,28.5,10,,0,0
I0503,guácimo,15.2,7,,0,0
I0504,guácimo,28,7,,0,0
I0505,guácimo,24.2,7,2,0,915.78
I0506,guácimo,28.8,7,2,0,1297.02
I0507,guácimo,18,7,,0,0
I0508,laurel,23.5,8,4,0,3548.48
I0509,jocote,39.5,10,2,0,0
I0510,jocote,31.5,10,2,0,0
I0511,guácimo,22.9,7,2,0,820.03
I0512,guácimo,47.2,9,2,0,3483.74
I0513,guácimo,34.5,9,1.5,0,1395.92
I0514,guácimo,19.5,9,1.5,0,445.96
I0515,carao,30.7,12,5,0,0
I0516,guácimo,24.6,8,2,0,946.31
I0517,laurel,17.3,10,2,0,961.54
I0518,laurel,22,10,4,0,3109.94
I0519,laurel,34.8,10,4,0,7781.54
I0520,guayaquil,19.9,8,,0,0
I0521,guanacaste,27.5,8,2,0,4343.25
I0522,guácimo,36,8,3,0,3039.89
I0523,guácimo,75.4,8,1.5,0,6667.53
I0524,guácimo,16,7,,0,0
I0525,laurel,27.5,8,4,0,4859.28
I0526,laurel,23.3,10,4,0,3488.34
I0527,quebracho,23.4,12,3,0,2335.19
I0528,laurel,34.5,12,6,0,11471.93
I0529,guácimo,28.4,10,4,0,2522.48
I0530,cedro manteco,49,12,6,1,11263.53
I0531,guácimo,16,6,,0,0
I0532,cenízaro,54,15,5,1,37929.50
I0533,guácimo,27.4,2,2,0,1173.98
I0534,guácimo,32.8,8,4,0,3364.64
I0535,guácimo,29.5,9,4,0,2721.67
I0536,guayaquil,30.3,12,4,0,3863.18
I0537,guácimo,20.3,8,4,0,1288.79
I0538,guácimo,15.9,7,,0,0
I0539,guácimo,37.5,10,5,0,5497.48
I0540,guácimo,70.5,10,3,1,11658.18
I0541,sietecueros-pavillo,16.5,8,,0,0
I0542,guarumo,29.2,12,3,0,0
I0543,guanacaste,199,20,6,9.3308,682302.92
I0544,laurel,31,10,4,0,6174.90
I0545,cedro manteco,18.2,10,4,0,1035.94
I0546,fruta de pava,23.2,12,4,0,0
I0547,cenízaro,59,20,6,1,54334.39
I0548,guarumo,25,15,3,0,0
I0549,guayabón,20,12,4,0,1091.77
I0550,guácimo,32.3,10,2,0,1631.42
I0551,guácimo,52,10,2,0,4228.32
I0552,jobo,23,12,4,0,1955.23
I0553,jobo,25.2,12,4,0,2347.16
I0554,guácimo,73,8,2,0,8333.11
I0555,laurel,25.7,8,2,0,2121.99
I0556,jobo,16,12,4,0,946.20
I0557,jobo,29,12,4,0,3108.41
I0558,laurel,27.8,12,5,0,6207.35
I0559,ceiba,26.7,11,5,0,3800.34
I0560,guácimo,60,10,3,0,8444.13
I0561,jobo,24.2,10,5,0,2705.72
I0562,corteza amarilla,28.5,10,5,0,11546.71
I0563,laurel,22,10,2,0,1554.97
I0564,roble sabana,23.8,8,3,0,2125.82
I0565,guácimo,19,10,2,0,564.51
I0566,laurel,16.5,8,,0,0
I0567,laurel,23,10,4,0,3399.09
I0568,guácimo,15.2,7,,0,0
I0569,guanacaste blanco,18.4,8,,0,0
I0570,guácimo,40,9,3,0,3752.95
I0571,laurel,26.5,10,4,0,4512.31
I0572,corteza amarilla,19.8,10,2,0,2229.25
I0573,guácimo,23.5,11,2,0,863.57
I0574,laurel,27,13,4,0,4684.19
I0575,jobo,53,13,9,1,23360.17
I0576,laurel,15,8,,0,0
I0577,guayabón,21,8,4,0,1203.67
I0578,laurel,34.2,12,4,0,7515.52
I0579,corteza amarilla,28.5,13,5,0,11546.71
I0580,guanacaste,15.3,5,,0,0
I0581,laurel,17.5,8,2,0,983.90
I0582,laurel,18,8,,0,0
I0583,gavilancillo,16.5,8,,0,0
I0584,guácimo,44,9,4,0,6054.75
I0585,ceibo barrigón,130,20,8,5.3093,144147.27
I0586,guaitil,17.2,8,,0,0
I0587,laurel,15.2,7,,0,0
I0588,guarumo,25,8,2,0,0
I0589,laurel,27.5,10,3,0,3644.46
I0590,laurel,18.5,10,,0,0
I0591,laurel,23.8,12,5,0,4549.57
I0592,achiotillo,20.5,5,,0,0
I0593,laurel,24,12,4,0,3701.09
I0594,laurel,21.2,8,2,0,1443.94
I0595,guácimo,24,7,1.5,0,675.53
I0596,tabaquillo,15.5,5,,0,0
I0597,laurel,15.5,8,,0,0
I0598,laurel,24.2,12,4,0,3763.03
I0599,laurel,20.2,10,3,0,1966.40
I0600,guanacaste,131,20,4,2.6956,197116.24
I0601,laurel,19.6,10,2,0,1234.21
I0602,laurel,19.9,9,2,0,1272.28
I0603,laurel,19.7,8,1.5,0,935.13
I0604,laurel,20.5,10,2,0,1350.16
I0605,guácimo,17,8,,0,0
I0606,guácimo,15.9,8,,0,0
I0607,guácimo,36,10,6,0,6079.77
I0608,guácimo,15.3,8,,0,0
I0609,roble sabana,16.4,9,2,0,672.93
I0610,nance,42.5,10,2,0,0
I0611,nance,29,10,3,0,0
I0612,laurel,16.2,9,,0,0
